Rang,Uporabniško ime,Elo,Id,Država,Država številka,Skupaj igre,Skupaj zmage,Skupaj remiji,Skupaj porazi,Naslov,Strela elo,Metek elo,Ime,Priimek,Opazovalci,Datum,Spol,Celina,Obratna vrednost prebivalstva,Leto
1235,dark_knight_2015,2404,410988971,Ukraine,141,475,265,52,158,Nima naslova,1985,2068,,,293,2024-12-20,Ni znano,Europe,3.0430284218854606e-08,2024
1236,Wissbegierde,2404,381472101,Mexico,95,346,170,78,98,Nima naslova,2515,2646,José de Jesús,Reyes Serrano,426,2024-08-16,Moški,North America,7.667703565107974e-09,2024
1237,crashoutforpatkis,2404,377435519,Finland,51,515,287,53,175,Nima naslova,2295,2301,,,155,2024-07-26,Ni znano,Europe,1.7712749158600132e-07,2024
1238,StockfishEng6000,2404,366013175,India,69,125,91,9,25,Nima naslova,2602,2602,,,442,2024-05-28,Ni znano,Asia,7.054713536302145e-10,2024
1239,ZiYu77,2404,345959087,China,33,593,267,84,242,Nima naslova,2261,2417,,,365,2024-02-17,Ni znano,Asia,7.100860624307666e-10,2024
1240,APotatoInthekitchen,2404,33998792,United States,2,86,72,5,9,CM,2646,2680,Prateek,Mishra,1967,2017-03-15,Ni znano,North America,2.9402166800915e-09,2017
1241,TacticalTitan92,2404,334191031,Brazil,27,54,24,9,21,Nima naslova,2728,2750,,,394,2023-12-23,Ni znano,South America,4.7040284123316105e-09,2023
1242,JPDA14,2404,327911405,Philippines,111,138,114,7,17,Nima naslova,2564,2204,,,126,2023-11-23,Ni znano,Asia,8.762429506254623e-09,2023
1243,joshdaruca,2404,32027900,United States,2,82,31,23,28,GM,2767,2824,Joshua,Daniel,6241,2016-12-31,Moški,North America,2.9402166800915e-09,2016
1244,Coach_KZ,2404,30234600,Kazakhstan,81,581,323,28,230,Nima naslova,2621,2659,Dastan,Turar,2072,2016-10-04,Ni znano,Asia,4.904891456959258e-08,2016
1245,Kirill_Klukin,2404,29590584,Serbia,231,281,221,44,16,IM,2980,2951,Kirill,Klukin,9170,2016-08-22,Moški,Europe,1.5225838003478496e-07,2016
1246,Dimdoom,2404,291054317,Japan,78,292,178,17,97,Nima naslova,2503,2635,Dark,DimDooM,384,2023-06-04,Ni znano,Asia,8.106355382619975e-09,2023
